ID_Envio,Origen,Destino,Tipo_Carga,Masa_kg,Tiempo_Entrega_días,Costo_Estimado_Euros,Estado,Estado_Envio,Manifiesto,Consumo_Combustible_L,Coordenadas_Origen,Coordenadas_Destino,Fecha_Envio,ID_Nave
036,Europa,Luna,Suministros Generales,578,189,10260.35,Media,Programado,MF-0885093E,626.62,"-42.4416,76.1630","-40.0409,-6.1345",2125-12-21,TSC-009
037,Estación Orbital Júpiter,Marte,Repuestos Mecánicos,221,205,33962.6,Media,Entregado,MF-F04AB045,134.68,"94.4351,70.9623","45.7656,-67.1920",2125-04-29,TSC-007
038,Europa,Titán,Equipo Científico,187,164,42209.3,Media,Demorado,MF-4D1194D6,106.42,"80.9307,-47.8642","83.9604,-22.5722",2125-03-28,TSC-006
039,Estación Ceres,Marte,Suministros Médicos,1952,181,30256.6,Media,Programado,MF-A3253322,2026.76,"140.0266,80.1984","-129.3704,-55.9954",2125-01-10,TSC-003
040,Marte,Estación Orbital Saturno,Alimentos Procesados,1930,391,15079.85,Alta,Demorado,MF-C7CC45F5,1895.63,"-82.9695,59.0021","-150.3728,64.9936",2125-06-08,TSC-007
041,Luna,Europa,Suministros Generales,208,221,30741.1,Baja,En tránsito,MF-C430DCB8,232.18,"19.9290,-11.8388","-59.8537,-75.0254",2125-12-30,TSC-001
042,Estación Orbital Júpiter,Estación Ceres,Equipo Científico,1389,269,27258.65,Media,Demorado,MF-2772029F,1441.99,"120.6088,87.1059","-171.3841,65.3596",2125-01-23,TSC-005
043,Estación Orbital Saturno,Ceres,Equipo Científico,747,46,27417.6,Media,En tránsito,MF-B64567BB,516.28,"124.0973,-63.0022","112.4554,58.4953",2125-08-30,TSC-004
044,Europa,Estación Orbital Júpiter,Componentes Electrónicos,1590,351,32417.3,Baja,Programado,MF-D3A07F4A,1358.84,"-4.2864,-5.8687","-21.9857,72.6138",2125-02-25,TSC-006
045,Tierra,Ceres,Componentes Electrónicos,845,379,40743.05,Baja,Programado,MF-23B74AD5,450.21,"123.6335,76.1649","-17.5089,61.3464",2125-03-12,TSC-003
046,Estación Orbital Saturno,Titán,Equipo Científico,371,332,47677.35,Media,En tránsito,MF-0B8BC9BF,530.6,"88.6974,8.3326","34.8121,80.4053",2125-02-28,TSC-010
047,Europa,Ceres,Agua,469,74,18923.55,Baja,En tránsito,MF-E9C0A8AE,267.97,"74.4050,81.2310","77.8285,17.0114",2125-03-30,TSC-005
048,Estación Orbital Júpiter,Europa,Muestras Geológicas,1395,228,18989.0,Alta,Entregado,MF-1F3790A7,980.0,"-148.7483,0.6671","-50.6763,37.3915",2125-09-16,TSC-002
049,Estación Orbital Saturno,Estación Orbital Júpiter,Datos de Investigación,1589,295,10700.65,Alta,Entregado,MF-C3A75C48,2155.14,"113.6535,24.8137","61.1958,-13.6984",2125-04-08,TSC-002
050,Estación Ceres,Europa,Componentes Electrónicos,102,37,28170.7,Baja,Demorado,MF-9228CFF1,75.56,"-67.5539,42.7027","82.4170,49.9015",2125-04-27,TSC-003
051,Marte,Ceres,Repuestos Mecánicos,424,88,11178.35,Baja,Demorado,MF-01150FF9,557.44,"-31.9017,-23.7948","81.4694,-56.8542",2125-10-21,TSC-004
052,Ceres,Europa,Agua,1330,217,15970.65,Media,Entregado,MF-D8E6EC39,938.45,"42.0092,14.6492","-134.8258,-45.1819",2125-10-11,TSC-004
053,Estación Orbital Saturno,Estación Ceres,Datos de Investigación,911,140,50954.1,Media,Demorado,MF-0BF1A6E9,1303.61,"14.0991,36.7366","143.8545,-74.4337",2125-06-03,TSC-005
054,Luna,Estación Orbital Júpiter,Equipo Científico,615,328,18604.8,Media,Demorado,MF-399C01E1,377.15,"-73.5983,85.9029","130.8019,-49.3029",2125-12-19,TSC-006
055,Luna,Europa,Repuestos Mecánicos,1601,243,21019.65,Baja,Entregado,MF-F4654F63,1920.09,"37.4678,28.5710","13.5223,-55.0190",2125-12-26,TSC-010
056,Estación Orbital Saturno,Titán,Suministros Generales,1045,329,27345.35,Baja,Entregado,MF-A3B1AFF6,601.51,"-32.8927,68.8566","-53.3647,-13.4766",2125-04-08,TSC-001
057,Ceres,Estación Ceres,Muestras Geológicas,1266,113,45077.2,Media,Programado,MF-218C101F,985.18,"54.1067,52.8596","174.2897,14.7186",2125-09-30,TSC-010
058,Luna,Titán,Datos de Investigación,1061,283,20285.25,Alta,En tránsito,MF-E874270C,989.82,"86.9348,38.7262","-54.1479,0.8320",2125-02-26,TSC-007
059,Estación Ceres,Marte,Datos de Investigación,718,129,42107.3,Baja,En tránsito,MF-AEFAC80A,717.18,"55.6866,62.8017","117.0792,42.0474",2125-01-26,TSC-006
060,Europa,Marte,Repuestos Mecánicos,1081,179,10467.75,Baja,En tránsito,MF-67060C2C,1410.64,"57.4025,43.9543","147.7689,-43.2232",2125-09-13,TSC-001
061,Ceres,Estación Orbital Saturno,Suministros Generales,732,330,28809.05,Media,Programado,MF-44498CB2,817.42,"155.5479,13.2207","41.6703,-79.5812",2125-01-15,TSC-006
062,Titán,Marte,Datos de Investigación,94,226,34515.95,Alta,Entregado,MF-3C2C78D0,80.92,"-80.9671,-54.5623","1.2751,-60.3134",2125-03-12,TSC-008
063,Estación Orbital Saturno,Estación Ceres,Datos de Investigación,276,369,27469.45,Alta,En tránsito,MF-73732D1B,308.34,"47.8871,-36.3680","-143.2780,-8.4440",2125-11-16,TSC-007
064,Estación Orbital Júpiter,Luna,Equipo Científico,1301,44,19468.4,Alta,Entregado,MF-80C63DC0,1518.63,"-97.6448,71.7676","153.0737,-41.4320",2125-02-06,TSC-005
065,Europa,Estación Orbital Saturno,Datos de Investigación,1797,341,47521.8,Baja,Entregado,MF-62485C17,1241.52,"-53.0983,26.9219","78.3499,77.2045",2125-09-29,TSC-006
066,Marte,Estación Orbital Saturno,Suministros Generales,1772,360,42456.65,Alta,Entregado,MF-9569D557,1078.65,"115.5833,-39.9625","178.7795,-10.3406",2125-02-07,TSC-008
067,Titán,Estación Orbital Júpiter,Muestras Geológicas,888,206,6005.25,Alta,Demorado,MF-D84E7C86,686.26,"-70.9425,-84.1242","-130.1118,-85.3306",2125-07-03,TSC-002
068,Marte,Ceres,Muestras Geológicas,1189,199,18849.6,Baja,En tránsito,MF-A9F305F7,762.48,"-117.8167,63.0296","-132.9271,-34.1294",2125-09-08,TSC-006
069,Estación Orbital Júpiter,Tierra,Componentes Electrónicos,549,355,12271.45,Alta,Demorado,MF-C0A6782A,646.91,"151.2744,45.5340","8.5210,60.6016",2125-02-13,TSC-001
070,Europa,Titán,Repuestos Mecánicos,1884,60,23655.5,Media,Programado,MF-A532F951,1941.34,"162.7672,-51.1398","123.8145,-13.6735",2125-03-12,TSC-002
071,Ceres,Marte,Equipo Científico,73,317,33413.5,Baja,En tránsito,MF-A442E220,81.46,"-137.5177,-0.1825","142.6425,-22.0161",2125-11-28,TSC-002
072,Europa,Titán,Suministros Generales,901,87,13589.8,Media,Demorado,MF-20C5B9DF,738.89,"35.6135,-72.6029","10.2676,36.4721",2125-06-04,TSC-008
073,Marte,Titán,Recursos Minerales,389,4,12818.0,Alta,Entregado,MF-FCB85146,246.39,"73.9632,-66.0795","47.1042,-10.7553",2125-05-12,TSC-008
074,Marte,Ceres,Suministros Médicos,1950,46,26916.95,Alta,Entregado,MF-6E58C1A8,2792.22,"-161.9658,-65.1931","83.0424,69.0481",2125-04-28,TSC-009
075,Tierra,Marte,Repuestos Mecánicos,123,192,42497.45,Alta,Demorado,MF-CDD02959,69.64,"-33.2027,35.2667","13.2126,-81.9226",2125-06-03,TSC-004
076,Luna,Estación Orbital Saturno,Muestras Geológicas,1666,320,7325.3,Alta,Demorado,MF-31A85EA9,1139.76,"130.3428,86.6541","28.4352,79.4272",2125-01-18,TSC-001
077,Estación Orbital Júpiter,Estación Orbital Saturno,Datos de Investigación,120,308,44789.9,Media,Programado,MF-D2C36B5E,111.36,"-98.2664,-21.5510","176.4945,-3.1484",2125-12-31,TSC-007
078,Ceres,Marte,Agua,203,157,11206.4,Baja,En tránsito,MF-9A4AA9F5,137.13,"-93.0936,86.0918","-33.7970,-75.4233",2125-12-22,TSC-009
079,Estación Ceres,Estación Orbital Saturno,Alimentos Procesados,1514,125,27265.45,Baja,En tránsito,MF-6C561A6F,1179.53,"-21.1455,21.3859","7.9200,-4.5146",2125-03-20,TSC-006
080,Estación Orbital Júpiter,Marte,Suministros Médicos,148,104,48098.95,Baja,Entregado,MF-B6FC452B,168.45,"-88.0046,-89.6662","62.4775,-84.6621",2125-05-03,TSC-002
081,Estación Ceres,Marte,Datos de Investigación,470,342,32475.95,Media,Programado,MF-9FB40645,704.81,"-55.5047,-24.1410","45.8565,-68.8980",2125-02-04,TSC-001
082,Estación Ceres,Europa,Suministros Generales,1005,174,22824.2,Media,Entregado,MF-87A53A76,1333.63,"-144.5123,16.8792","21.9505,-13.1869",2125-05-03,TSC-002
083,Estación Orbital Júpiter,Europa,Recursos Minerales,1089,65,30821.0,Baja,Demorado,MF-4240B561,954.65,"95.4024,36.5660","-178.0728,-61.8241",2125-01-16,TSC-006
084,Luna,Estación Orbital Júpiter,Recursos Minerales,1756,128,35082.05,Alta,Entregado,MF-1F3CB5E4,1056.65,"-48.7605,30.1911","79.0421,34.9576",2125-12-24,TSC-004
085,Estación Orbital Saturno,Luna,Equipo Científico,538,321,14608.95,Media,En tránsito,MF-4E664603,723.38,"99.5621,38.3348","55.7340,-40.5815",2125-08-29,TSC-009
086,Estación Orbital Júpiter,Ceres,Suministros Médicos,168,93,29795.05,Alta,Entregado,MF-49113947,191.91,"119.9497,64.5608","24.0227,62.9252",2125-04-11,TSC-008
087,Ceres,Estación Ceres,Componentes Electrónicos,252,349,18178.95,Baja,Programado,MF-624F21FF,371.77,"-75.1798,76.4280","-111.0824,51.1406",2125-05-28,TSC-008
088,Tierra,Luna,Equipo Científico,1786,186,16519.75,Alta,Programado,MF-D95FECBB,1788.13,"-107.8745,81.5486","-101.5977,-65.5376",2125-01-13,TSC-003
089,Europa,Titán,Muestras Geológicas,1367,370,17316.2,Alta,En tránsito,MF-20DEBCFF,1941.79,"32.5416,17.8907","78.5862,11.5664",2125-07-28,TSC-002
090,Titán,Luna,Suministros Médicos,1465,239,12692.2,Alta,Demorado,MF-E557EE0A,2035.08,"145.6837,-81.7964","169.1425,-27.9312",2125-06-21,TSC-005
091,Europa,Estación Ceres,Muestras Geológicas,1495,34,32217.55,Baja,Entregado,MF-BE11EEC1,2126.63,"-178.2676,-11.6766","-107.9340,-62.7233",2125-03-04,TSC-004
092,Luna,Estación Ceres,Recursos Minerales,332,165,10068.25,Alta,Programado,MF-17B179DC,301.43,"-18.8013,58.3386","-130.8485,15.1793",2125-01-05,TSC-008
093,Estación Ceres,Estación Orbital Júpiter,Suministros Médicos,618,189,28475.85,Baja,Demorado,MF-73454133,663.16,"-97.1976,87.9843","175.0303,-70.0692",2125-09-03,TSC-001
094,Estación Ceres,Marte,Componentes Electrónicos,107,282,50146.6,Baja,Programado,MF-9B9F06E5,99.11,"4.5840,-37.0618","-139.7424,-23.4773",2125-04-22,TSC-007
095,Estación Ceres,Luna,Datos de Investigación,1916,81,19597.6,Baja,Demorado,MF-437C0990,1867.74,"51.1837,-81.4360","50.2330,-58.1698",2125-10-09,TSC-003
096,Ceres,Estación Orbital Júpiter,Equipo Científico,511,330,44477.95,Alta,Demorado,MF-C90670E8,585.72,"144.9967,-50.5655","51.7932,-32.4021",2125-10-25,TSC-008
097,Europa,Estación Orbital Júpiter,Recursos Minerales,1095,338,8681.05,Media,Programado,MF-09E5669A,887.34,"135.6715,55.3155","-133.1798,-15.3092",2125-12-03,TSC-002
098,Ceres,Estación Orbital Saturno,Suministros Generales,1133,94,14930.25,Media,Demorado,MF-0DE2B2A2,621.0,"-36.6254,29.6841","24.5114,6.2779",2125-06-21,TSC-010
099,Tierra,Europa,Agua,1903,126,35745.9,Media,En tránsito,MF-39B02AFA,1062.29,"124.2434,-71.0943","-38.6381,56.7869",2125-11-20,TSC-008
100,Marte,Titán,Recursos Minerales,1856,68,35626.9,Media,Demorado,MF-1543BC4B,2096.18,"36.8865,-28.7120","-167.9209,1.0990",2125-08-29,TSC-001
